prom_peak,gene,MoreOpenIn
18:45935138-45937304,ZBTB7C,beta 2
18:47086948-47088555,LIPG,beta 2
18:47792556-47793140,CCDC11,beta 1
18:53019522-53019753,TCF4,beta 2
18:5542502-5544372,EPB41L3,beta 1
18:55469553-55471023,ATP8B1,beta 1
18:55888530-55888937,NEDD4L,beta 2
18:56887282-56888805,GRP,beta 1
18:59000571-59001976,CDH20,beta 1
18:59992072-59993558,TNFRSF11A,beta 1
18:72933409-72933754,TSHZ1,beta 2
18:74839779-74840157,MBP,beta 2
18:904797-905138,ADCYAP1,beta 2
19:1103663-1104834,GPX4,beta 2
19:14070566-14071485,DCAF15,beta 1
19:16652779-16653818,CHERP,beta 2
19:16830187-16831000,NWD1,beta 1
19:17393338-17393813,USHBP1,beta 1
19:18208319-18209043,MAST3,beta 1
19:18284283-18285459,IFI30,beta 1
19:18854047-18854680,CRTC1,beta 1
19:33864267-33865261,CEBPG,beta 2
19:35531704-35532770,HPN,beta 1
19:38663816-38664548,SIPA1L3,beta 1
19:38714670-38715249,DPF1,beta 1
19:39329925-39330758,AC104534.3,beta 1
19:39368232-39369044,RINL,beta 1
19:40771928-40772551,AKT2,beta 1
19:41221514-41223314,ADCK4,beta 2
19:41221514-41223314,ITPKC,beta 2
19:42721348-42722310,DEDD2,beta 2
19:42723915-42724754,DEDD2,beta 2
19:42723915-42724754,ZNF526,beta 2
19:45931981-45932435,ERCC1,beta 2
19:45973466-45973877,FOSB,beta 2
19:46234022-46234526,FBXO46,beta 1
19:46999617-46999926,PNMAL2,beta 1
19:4715221-4716266,DPP9,beta 1
19:48048528-48048797,ZNF541,beta 1
19:48613623-48614288,PLA2G4C,beta 2
19:48829213-48829524,EMP3,beta 2
19:48875744-48876765,SYNGR4,beta 1
19:49621873-49623024,C19orf73,beta 2
19:49621873-49623024,PPFIA3,beta 2
19:49977099-49977667,FLT3LG,beta 1
19:51013756-51014951,JOSD2,beta 1
19:52598400-52599345,ZNF841,beta 2
19:53836406-53837523,ZNF845,beta 2
19:54962397-54963206,LENG8,beta 1
19:55721323-55721911,PTPRH,beta 2
19:57793678-57793994,ZNF460,beta 2
19:5903781-5905113,AC024592.12,beta 2
19:5903781-5905113,NDUFA11,beta 2
19:5903781-5905113,FUT5,beta 2
19:5903781-5905113,VMAC,beta 2
19:5913869-5914408,CAPS,beta 1
19:6279659-6280421,MLLT1,beta 1
2:103351981-103353752,MFSD9,beta 1
2:103351981-103353752,TMEM182,beta 1
2:106013203-106013542,FHL2,beta 2
2:107103623-107104604,AC108868.1,beta 1
2:109744463-109746170,SH3RF3,beta 1
2:112939040-112939789,FBLN7,beta 1
2:113299330-113300818,POLR1B,beta 1
2:11679946-11680885,GREB1,beta 1
2:120281021-120282259,SCTR,beta 1
2:120435581-120437103,TMEM177,beta 1
2:121103566-121104807,INHBB,beta 1
2:121493282-121494091,GLI2,beta 1
2:127977295-127978041,CYP27C1,beta 1
2:128180323-128181459,PROC,beta 1
2:128936798-128937089,UGGT1,beta 1
2:130902021-130903065,CCDC74B,beta 1
2:130913449-130913969,SMPD4,beta 1
2:131512830-131514549,AMER3,beta 1
2:131595213-131595495,ARHGEF4,beta 1
2:135011133-135011956,MGAT5,beta 1
2:135595624-135596107,ACMSD,beta 2
2:149894331-149895579,LYPD6B,beta 1
2:152117645-152118557,RBM43,beta 1
2:152590298-152590825,NEB,beta 1
2:158183708-158184618,ERMN,beta 1
2:160142374-160143927,WDSUB1,beta 2
2:160471529-160473140,BAZ2B,beta 2
2:160760421-160761799,LY75,beta 1
2:160760421-160761799,LY75-CD302,beta 1
2:166428692-166429174,CSRNP3,beta 2
2:166430079-166431040,CSRNP3,beta 2
2:167759991-167760786,XIRP2,beta 1
2:169668145-169668789,NOSTRIN,beta 2
2:169756922-169758036,G6PC2,beta 1
2:169758285-169759165,G6PC2,beta 1
2:170365781-170366323,KLHL41,beta 2
2:170589740-170591298,KLHL23,beta 1
2:171034488-171035611,MYO3B,beta 2
2:172016239-172017898,TLK1,beta 2
2:173420073-173421445,PDK1,beta 2
2:175546609-175547957,WIPF1,beta 1
2:179058272-179060252,OSBPL6,beta 2
2:179343176-179344025,FKBP7,beta 2
2:180725179-180726645,ZNF385B,beta 1
2:182545110-182545745,NEUROD1,beta 1
2:187713514-187714597,ZSWIM2,beta 1
2:191002149-191002869,C2orf88,beta 1
2:191044870-191046251,C2orf88,beta 1
2:192542095-192543296,NABP1,beta 2
2:196932892-196933991,DNAH7,beta 1
2:197504082-197504747,CCDC150,beta 1
2:198569586-198570878,MARS2,beta 1
2:202937507-202938206,AC079354.1,beta 1
2:20424414-20425385,SDC1,beta 1
2:205409650-205411044,PARD3B,beta 1
2:208394157-208395554,CREB1,beta 2
2:21021867-21023098,C2orf43,beta 1
2:215673770-215675061,BARD1,beta 2
2:218621137-218621685,DIRC3,beta 1
2:218768929-218769224,TNS1,beta 1
2:219221204-219221935,C2orf62,beta 1
2:219575319-219576157,TTLL4,beta 2
2:219857668-219858921,CRYBA2,beta 1
2:220042481-220043549,CNPPD1,beta 2
2:220042481-220043549,FAM134A,beta 2
2:220143618-220144767,DNAJB2,beta 2
2:223536053-223536837,MOGAT1,beta 1
2:223784562-223785254,ACSL3,beta 2
2:225681571-225681831,DOCK10,beta 2
2:230931698-230933787,SLC16A14,beta 1
2:231191556-231192574,SP140L,beta 1
2:232394644-232395592,NMUR1,beta 1
2:233352156-233352685,ECEL1,beta 1
2:233721289-233721744,C2orf82,beta 2
2:233755610-233756245,NGEF,beta 1
2:23746483-23747551,AC011239.1,beta 1
2:242169712-242170187,HDLBP,beta 1
2:24713513-24715739,NCOA1,beta 2
2:27193086-27194468,MAPRE3,beta 2
2:27712094-27712992,IFT172,beta 2
2:28614920-28615966,FOSL2,beta 2
2:287140-288928,FAM150B,beta 1
2:29126986-29128112,WDR43,beta 2
2:29203729-29204444,FAM179A,beta 1
2:29297277-29297750,C2orf71,beta 1
2:29336692-29337687,CLIP4,beta 1
2:29337898-29339516,CLIP4,beta 2
2:30453831-30455594,LBH,beta 2
2:31360033-31361818,GALNT14,beta 1
2:31456619-31457474,EHD3,beta 1
2:33500698-33501399,LTBP1,beta 2
2:33516155-33517076,LTBP1,beta 2
2:33700533-33701875,RASGRP3,beta 2
2:36582258-36583740,CRIM1,beta 1
2:38603347-38604865,ATL2,beta 2
2:44428707-44429233,PPM1B,beta 2
2:46768956-46769992,ATP6V1E2,beta 2
2:46768956-46769992,RHOQ,beta 2
2:48132292-48134303,FBXO11,beta 2
2:48982510-48983083,LHCGR,beta 1
2:54349220-54350528,ACYP2,beta 2
2:54682969-54684418,SPTBN1,beta 2
2:55277334-55278121,RTN4,beta 2
2:55278289-55278663,RTN4,beta 2
2:58273414-58274642,VRK2,beta 2
2:60780684-60781678,BCL11A,beta 1
2:61763683-61764330,XPO1,beta 2
2:66734839-66736225,MEIS1,beta 1
2:68478198-68479119,PPP3R1,beta 2
2:68870292-68871131,PROKR1,beta 1
2:7005193-7006856,CMPK2,beta 1
2:7005193-7006856,RSAD2,beta 1
2:7017494-7018349,RSAD2,beta 1
2:71693400-71694400,DYSF,beta 1
2:72371738-72372638,CYP26B1,beta 1
2:73520088-73521082,EGR4,beta 1
2:74374572-74375638,BOLA3,beta 2
2:74425413-74426575,MTHFD2,beta 2
2:74681869-74682348,INO80B,beta 2
2:74756406-74757262,HTRA2,beta 1
2:74756406-74757262,AUP1,beta 1
2:80529764-80531016,LRRTM1,beta 1
2:85980841-85982160,ATOH8,beta 1
2:87016404-87018096,CD8A,beta 1
2:8821861-8822447,ID2,beta 1
2:97534221-97536189,SEMA4C,beta 1
2:98950731-98951371,AC092675.3,beta 2
2:98972782-98973889,AC092675.3,beta 2
2:99485677-99487013,KIAA1211L,beta 1
20:1093655-1094128,PSMF1,beta 1
20:1165347-1166715,TMEM74B,beta 1
20:11898303-11898835,BTBD3,beta 2
20:17206571-17208090,PCSK2,beta 2
20:17549617-17551477,BFSP1,beta 2
20:17549617-17551477,DSTN,beta 2
20:18036939-18038709,OVOL2,beta 1
20:18522141-18522821,SEC23B,beta 2
20:19738006-19739881,AL121761.2,beta 1
20:23015815-23016215,SSTR4,beta 1
20:23617902-23618905,CST3,beta 1
20:24449698-24451134,SYNDIG1,beta 1
20:30192589-30193548,ID1,beta 1
20:31097464-31098843,C20orf112,beta 1
20:361269-363276,TRIB3,beta 2
20:39830233-39831312,ZHX3,beta 1
20:39929016-39929798,ZHX3,beta 1
20:39994426-39995884,EMILIN3,beta 1
20:44097942-44099848,WFDC2,beta 1
20:45001680-45002165,ELMO2,beta 1
20:48806884-48809111,CEBPB,beta 2
20:50807315-50809128,ZFP64,beta 1
20:57467194-57467817,GNAS,beta 1
20:6103309-6104296,FERMT1,beta 1
20:62612183-62612824,PRPF6,beta 1
20:62669632-62670873,ZNF512B,beta 1
20:9818931-9820084,PAK7,beta 1
21:26979372-26980945,MRPL39,beta 1
21:27512246-27512824,APP,beta 2
21:27944455-27945768,CYYR1,beta 1
21:28337602-28340229,ADAMTS5,beta 1
21:30449027-30450318,MAP3K7CL,beta 1
21:30672334-30672876,BACH1,beta 2
21:33244712-33246643,HUNK,beta 1
21:34442179-34443951,OLIG1,beta 1
21:36260257-36261672,RUNX1,beta 2
21:40751977-40753160,WRB,beta 2
21:40824378-40824720,SH3BGR,beta 2
21:42688109-42689126,FAM3B,beta 1
21:43373459-43374661,C2CD2,beta 1
21:45323254-45324115,AGPAT3,beta 1
21:46130831-46131852,TSPEAR,beta 1
21:47737902-47738473,C21orf58,beta 1
21:48024575-48025553,S100B,beta 1
22:17679127-17680804,CECR1,beta 1
22:18506210-18507740,MICAL3,beta 2
22:19949804-19950323,COMT,beta 1
22:20878369-20878941,MED15,beta 1
22:21368283-21369500,P2RX6,beta 1
22:26879281-26880185,HPS4,beta 2
22:26879281-26880185,SRRD,beta 2
22:31975647-31976441,SFI1,beta 1
22:32870474-32871720,FBXO7,beta 2
22:36761030-36761414,MYH9,beta 2
22:38301078-38301475,MICALL1,beta 2
22:38597596-38599531,MAFF,beta 2
22:39151299-39152403,SUN2,beta 2
22:39416048-39417591,APOBEC3D,beta 1
22:39713828-39714510,RPL3,beta 1
22:41762902-41763621,TEF,beta 1
22:42310604-42311303,SHISA8,beta 1
22:42739201-42740138,TCF20,beta 1
22:43355514-43356416,PACSIN2,beta 2
22:43582682-43583908,TTLL12,beta 1
22:44463938-44464750,PARVB,beta 1
22:45680596-45681097,UPK3A,beta 1
22:50628582-50629367,TRABD,beta 1
3:105084956-105087288,ALCAM,beta 2
3:107243377-107244271,BBX,beta 2
3:108321196-108322087,DZIP3,beta 1
3:110789798-110791342,PVRL3,beta 2
3:111578081-111579783,PHLDB2,beta 2
3:111804907-111805673,C3orf52,beta 2
3:112279962-112281458,SLC35A5,beta 2
3:112279962-112281458,ATG3,beta 2
3:114013482-114013687,TIGIT,beta 1
3:114477633-114478449,ZBTB20,beta 2
3:120400902-120401553,HGD,beta 2
3:121553523-121554614,IQCB1,beta 2
3:121553523-121554614,EAF2,beta 2
3:121973260-121974015,CASR,beta 1
3:124597388-124598099,ITGB5,beta 2
3:124720622-124722749,HEG1,beta 1
3:124774374-124775279,HEG1,beta 2
3:126113474-126114081,CCDC37,beta 1
3:126327463-126328256,TXNRD3NB,beta 1
3:126327463-126328256,TXNRD3,beta 1
3:127454801-127455495,MGLL,beta 1
3:128206547-128206954,GATA2,beta 1
3:128513877-128514413,RAB7A,beta 1
3:128690237-128690936,RP11-723O4.6,beta 1
3:128719570-128721213,EFCC1,beta 1
3:129279856-129280547,PLXND1,beta 1
3:13114231-13115363,IQSEC1,beta 1
3:132837512-132838322,TMEM108,beta 1
3:132843256-132843833,TMEM108,beta 1
3:133524252-133525382,SRPRB,beta 2
3:134369276-134370732,KY,beta 1
3:138153048-138154038,ESYT3,beta 1
3:139257626-139258982,RBP1,beta 1
3:14473405-14474301,SLC6A6,beta 2
3:147110998-147111807,ZIC1,beta 1
3:148897766-148898308,CP,beta 2
3:149191453-149191887,TM4SF4,beta 2
3:149563425-149563958,RNF13,beta 2
3:157260458-157261414,C3orf55,beta 1
3:157827485-157828732,RSRC1,beta 2
3:159706327-159707101,IL12A,beta 1
3:160282539-160284113,KPNA4,beta 2
3:160394646-160395079,ARL14,beta 2
3:161089163-161091113,SPTSSB,beta 1
3:167452252-167453671,PDCD10,beta 1
3:167452252-167453671,SERPINI1,beta 1
3:169754794-169756865,GPR160,beta 1
3:171176889-171179128,TNIK,beta 2
3:171764307-171764733,FNDC3B,beta 2
3:172165465-172167199,GHSR,beta 1
3:172240839-172241660,TNFSF10,beta 1
3:172428521-172429507,NCEH1,beta 2
3:178789003-178790233,ZMAT3,beta 2
3:180319456-180320456,TTC14,beta 1
3:182879452-182880895,LAMP3,beta 2
3:182982840-182983436,B3GNT5,beta 1
3:183967145-183967876,ALG3,beta 2
3:183967145-183967876,ECE2,beta 2
3:186647909-186650184,ST6GAL1,beta 1
3:186856953-186857792,RPL39L,beta 1
3:187456198-187457233,BCL6,beta 1
3:187871363-187872483,LPP,beta 2
3:189838061-189838989,LEPREL1,beta 1
3:192126737-192128286,FGF12,beta 1
3:194070865-194071570,CPN2,beta 1
3:195619193-195620300,TNK2,beta 1
3:195782562-195782957,TFRC,beta 2
3:24206195-24207248,THRB,beta 1
3:24535472-24537512,THRB,beta 1
3:258368-259454,CHL1,beta 1
3:30647289-30648946,TGFBR2,beta 2
3:30935698-30936720,GADL1,beta 1
3:31573357-31575252,STT3B,beta 2
3:32021945-32023497,OSBPL10,beta 2
3:32021945-32023497,ZNF860,beta 2
3:32432954-32434394,CMTM7,beta 1
3:36985417-36986731,TRANK1,beta 1
3:3840299-3842111,LRRN1,beta 1
3:39370784-39371327,CCR8,beta 1
3:40429768-40430512,ENTPD3,beta 1
3:41240326-41241915,CTNNB1,beta 2
3:42743590-42744517,HHATL,beta 1
3:42947273-42948257,ZNF662,beta 1
3:43731722-43733217,ABHD5,beta 2
3:43731722-43733217,ANO10,beta 2
3:44596250-44597142,ZKSCAN7,beta 1
3:47204709-47206410,SETD2,beta 2
3:47952231-47952735,MAP4,beta 2
3:48514010-48515127,SHISA5,beta 1
3:48632647-48633465,COL7A1,beta 2
3:49058351-49059876,NDUFAF3,beta 2
3:49058351-49059876,DALRD3,beta 2
3:49203280-49204091,CCDC71,beta 1
3:49208464-49209188,KLHDC8B,beta 1
3:5019871-5021295,BHLHE40,beta 1
3:51989615-51990776,GPR62,beta 1
3:52311631-52313119,WDR82,beta 2
3:52529276-52529508,STAB1,beta 1
3:53828685-53829652,CACNA1D,beta 2
3:53830168-53830619,CACNA1D,beta 1
3:62858799-62860304,CADPS,beta 2
3:64210695-64211381,PRICKLE2,beta 1
3:64430514-64431532,PRICKLE2,beta 1
3:66271012-66271868,SLC25A26,beta 2
3:69434812-69435709,FRMD4B,beta 1
3:69915004-69915721,MITF,beta 1
3:71112780-71114867,FOXP1,beta 2
3:71777763-71777991,EIF4E3,beta 1
3:71802273-71804066,EIF4E3,beta 1
3:71802273-71804066,GPR27,beta 1
3:72896862-72898158,SHQ1,beta 2
3:73482051-73482579,PDZRN3,beta 2
3:75955588-75956209,ROBO2,beta 1
3:77087573-77089568,ROBO2,beta 2
3:77683990-77684479,ROBO2,beta 1
3:81792187-81793888,GBE1,beta 2
3:9289763-9291766,SRGAP3,beta 1
3:93692024-93693082,PROS1,beta 1
3:9404420-9405279,THUMPD3,beta 1
3:9850968-9852373,TTLL3,beta 1
3:98619910-98621028,DCBLD2,beta 2
3:9993335-9994513,PRRT3,beta 1
4:102711538-102712679,BANK1,beta 1
4:10458193-10459253,ZNF518B,beta 1
4:108745209-108746613,SGMS2,beta 2
4:108814875-108815736,SGMS2,beta 1
4:109683611-109684720,ETNPPL,beta 1
4:110480780-110482342,CCDC109B,beta 2
4:113436152-113438069,NEUROG2,beta 1
4:113738995-113739925,ANK2,beta 2
4:114213502-114215176,ANK2,beta 1
4:118953912-118955707,NDST3,beta 1
4:1201613-1202656,SPON2,beta 1
4:121992178-121992837,NDNF,beta 1
4:121993273-121994422,NDNF,beta 1
4:128981787-128983660,LARP1B,beta 2
4:1303051-1303766,MAEA,beta 1
4:139162999-139164113,SLC7A11,beta 2
4:140586596-140588397,MGST2,beta 1
4:141071796-141073698,MAML3,beta 2
4:141178564-141179294,SCOC,beta 1
4:141676786-141678460,TBC1D9,beta 2
4:143394790-143396276,INPP4B,beta 1
4:144256816-144258994,GAB1,beta 1
4:148402061-148402792,EDNRA,beta 1
4:148652748-148653992,ARHGAP10,beta 2
4:152329138-152330717,FAM160A1,beta 2
4:154178152-154178947,TRIM2,beta 2
4:15471083-15472009,CC2D2A,beta 1
4:15480623-15481712,CC2D2A,beta 1
4:155411925-155413458,DCHS2,beta 1
4:15779898-15781342,CD38,beta 1
4:159592704-159594012,C4orf46,beta 1
4:159592704-159594012,ETFDH,beta 1
4:159726677-159727204,FNIP2,beta 2
4:165304202-165305453,MARCH1,beta 2
4:16899663-16900829,LDB2,beta 1
4:169239117-169240132,DDX60,beta 1
4:169632790-169633150,PALLD,beta 1
4:169752798-169754739,PALLD,beta 2
4:170191272-170192792,SH3RF1,beta 2
4:170533080-170534076,NEK1,beta 1
4:170533080-170534076,CLCN3,beta 1
4:170580883-170581908,CLCN3,beta 2
4:174089265-174091411,GALNT7,beta 2
4:176728812-176729290,GPM6A,beta 1
4:176812320-176813421,GPM6A,beta 2
4:17782185-17783691,FAM184B,beta 1
4:185338926-185339418,IRF2,beta 2
4:185726397-185727479,ACSL1,beta 1
4:186695243-186696787,SORBS2,beta 2
4:186731944-186733595,SORBS2,beta 1
4:187148188-187148819,KLKB1,beta 1
4:187186771-187188582,F11,beta 1
4:2042184-2044318,NELFA,beta 1
4:2042184-2044318,C4orf48,beta 1
4:21699084-21699820,KCNIP4,beta 2
4:23891238-23891922,PPARGC1A,beta 2
4:2464034-2464798,RNF4,beta 1
4:24913800-24914867,CCDC149,beta 1
4:26344004-26344507,RBPJ,beta 2
4:26491787-26492857,CCKAR,beta 1
4:26861858-26863344,STIM2,beta 2
4:2909059-2909440,ADD1,beta 1
4:30720939-30721566,PCDH7,beta 2
4:39034337-39034851,TMEM156,beta 2
4:39528703-39529962,UGDH,beta 2
4:41258286-41259929,UCHL1,beta 2
4:41360482-41361328,LIMCH1,beta 1
4:4387922-4389200,NSG1,beta 1
4:4463264-4464012,STX18,beta 1
4:47838598-47840023,CORIN,beta 1
4:48485126-48486495,SLC10A4,beta 1
4:54458311-54458589,LNX1,beta 2
4:56501827-56502954,NMU,beta 1
4:57332533-57332943,SRP72,beta 2
4:57773378-57775590,REST,beta 2
4:6201931-6203121,JAKMIP1,beta 1
4:62065769-62067179,LPHN3,beta 1
4:644817-645724,PDE6B,beta 1
4:656945-658323,PDE6B,beta 1
4:66535939-66536725,EPHA5,beta 2
4:69215069-69216147,YTHDC1,beta 1
4:699224-699945,PCGF3,beta 1
4:71569482-71571743,RUFY3,beta 2
4:71599825-71601051,RUFY3,beta 2
4:72052055-72053938,SLC4A4,beta 1
4:74863890-74864795,CXCL5,beta 1
4:76648490-76650584,G3BP2,beta 2
4:76648490-76650584,USO1,beta 2
4:77134428-77135489,SCARB2,beta 2
4:77134428-77135489,FAM47E,beta 2
4:7873915-7874413,AFAP1,beta 1
4:78739241-78741873,CNOT6L,beta 2
4:8072533-8073976,ABLIM2,beta 1
4:81104395-81105880,PRDM8,beta 1
4:82135387-82136966,PRKG2,beta 1
4:83718667-83720650,SCD5,beta 1
4:84456526-84457891,AGPAT9,beta 2
4:87373790-87375323,MAPK10,beta 1
4:87856939-87857764,AFF1,beta 2
4:89204568-89206221,PPM1K,beta 2
4:90757693-90759532,SNCA,beta 2
4:90800343-90800781,MMRN1,beta 1
4:91155906-91156627,CCSER1,beta 1
4:95128534-95129475,SMARCAD1,beta 1
4:95444831-95445304,PDLIM5,beta 2
4:99578731-99578992,TSPAN5,beta 2
5:101631459-101632639,SLCO4C1,beta 1
5:102091448-102092056,PAM,beta 2
5:10563430-10565327,ANKRD33B,beta 1
5:111754555-111756346,EPB41L4A,beta 1
5:111754555-111756346,EPB41L4A-AS2,beta 1
5:115784262-115785181,SEMA6A,beta 1
5:119799623-119800323,PRR16,beta 1
5:121412393-121414226,LOX,beta 1
5:121647411-121648841,SNCAIP,beta 1
5:122758532-122759676,CEP120,beta 2
5:124082700-124083427,ZNF608,beta 2
5:126365232-126366954,MARCH3,beta 2
5:128795485-128797510,ADAMTS19,beta 1
5:130720564-130720836,CDC42SE2,beta 2
5:132082566-132083693,CCNI2,beta 1
5:137799557-137801716,EGR1,beta 1
5:138466904-138468061,SIL1,beta 1
5:138609144-138610198,MATR3,beta 2
5:138861561-138862539,TMEM173,beta 1
5:139283342-139284754,NRG2,beta 1
5:140345538-140346993,PCDHAC2,beta 2
5:142782244-142784535,NR3C1,beta 2
5:146888641-146889910,DPYSL3,beta 1
5:147161645-147162595,JAKMIP2,beta 1
5:147648092-147648461,SPINK13,beta 2
5:149877102-149877720,NDST1,beta 2
5:150137825-150138876,DCTN4,beta 2
5:150418350-150418650,TNIP1,beta 2
5:150529474-150530924,ANXA6,beta 1
5:150602897-150603899,CCDC69,beta 1
5:1523188-1524542,LPCAT1,beta 1
5:154091989-154092838,LARP1,beta 1
5:154135818-154136077,LARP1,beta 2
5:154136536-154136856,LARP1,beta 2
5:157078421-157079376,SOX30,beta 1
5:159626177-159626942,FABP6,beta 1
5:161274387-161275711,GABRA1,beta 1
5:16465321-16466560,ZNF622,beta 1
5:16508670-16509590,FAM134B,beta 2
5:167718377-167719626,WWC1,beta 1
5:170845557-170847661,FGF18,beta 1
5:174870976-174872248,DRD1,beta 1
5:175288342-175289322,CPLX2,beta 1
5:176899748-176900958,DBN1,beta 1
5:176980667-176981964,FAM193B,beta 2
5:178770694-178772826,ADAMTS2,beta 1
5:179228802-179229150,MGAT4B,beta 1
5:179245865-179246893,SQSTM1,beta 2
5:179635587-179636437,RASGEF1C,beta 1
5:191216-192051,LRRC14B,beta 1
5:271236-272049,PDCD6,beta 1
5:31193610-31195388,CDH6,beta 2
5:321177-322753,AHRR,beta 1
5:33936084-33937968,RXFP3,beta 1
5:343904-344590,AHRR,beta 1
5:34838808-34839784,TTC23L,beta 1
5:41794490-41794973,OXCT1,beta 2
5:42423106-42424661,GHR,beta 1
5:442619-443990,C5orf55,beta 1
5:442619-443990,EXOC3,beta 1
5:49736437-49737785,EMB,beta 1
5:54522288-54523574,MCIDAS,beta 1
5:54712137-54712462,SKIV2L2,beta 2
5:55146880-55147725,IL31RA,beta 2
5:59064030-59064870,PDE4D,beta 2
5:59995461-59996574,DEPDC1B,beta 2
5:61608038-61608269,KIF2A,beta 2
5:63801546-63803137,RGS7BP,beta 1
5:63985889-63987389,FAM159B,beta 1
5:6448693-6449671,UBE2QL1,beta 1
5:64919706-64921196,TRIM23,beta 2
5:64919706-64921196,TRAPPC13,beta 2
5:64919706-64921196,CTC-534A2.2,beta 2
5:66124081-66125202,MAST4,beta 2
5:72111921-72113283,TNPO1,beta 2
5:72416052-72416742,TMEM171,beta 1
5:72921484-72922677,ARHGEF28,beta 2
5:7395033-7397088,ADCY2,beta 1
5:73980692-73981265,HEXB,beta 2
5:77656784-77657419,SCAMP1,beta 2
5:78365059-78366161,DMGDH,beta 1
5:78365059-78366161,BHMT2,beta 1
5:80689488-80690604,ACOT12,beta 1
5:86708027-86709216,CCNH,beta 1
5:94619417-94621088,MCTP1,beta 1
5:94955746-94957693,GPR150,beta 1
5:95767835-95769412,PCSK1,beta 1
5:95769843-95770281,PCSK1,beta 1
5:95863893-95865106,CAST,beta 2
6:100015870-100017139,CCNC,beta 1
6:100912106-100913337,SIM1,beta 2
6:102265914-102266663,GRIK2,beta 2
6:105307115-105308054,HACE1,beta 1
6:107435360-107437754,BEND3,beta 2
6:108145089-108146037,SCML4,beta 1
6:108880510-108881256,FOXO3,beta 2
6:109702908-109704669,CD164,beta 2
6:109786860-109787529,MICAL1,beta 1
6:109827289-109827611,AK9,beta 2
6:110299298-110301115,GPR6,beta 1
6:111195196-111197757,AMD1,beta 2
6:111926343-111927812,TRAF3IP2,beta 2
6:11232008-11233347,NEDD9,beta 2
6:114663351-114665043,HS3ST5,beta 1
6:116380821-116382408,FRK,beta 2
6:117085918-117087100,FAM162B,beta 1
6:122931066-122932546,PKIB,beta 2
6:122973719-122974640,PKIB,beta 2
6:123110198-123111402,SMPDL3A,beta 2
6:125282861-125284773,RNF217,beta 1
6:126101279-126102557,NCOA7,beta 2
6:126131312-126132013,NCOA7,beta 1
6:127839905-127840666,SOGA3,beta 2
6:129203810-129204768,LAMA2,beta 1
6:132721805-132723127,MOXD1,beta 1
6:13408616-13409053,GFOD1,beta 1
6:134495692-134496959,SGK1,beta 2
6:134638611-134639487,SGK1,beta 1
6:136845526-136846729,MAP7,beta 2
6:136847249-136847936,MAP7,beta 1
6:137112948-137114498,MAP3K5,beta 2
6:137814291-137815099,OLIG3,beta 1
6:138428112-138429202,PERP,beta 2
6:138820198-138821608,NHSL1,beta 2
6:139349549-139350979,ABRACL,beta 2
6:139455922-139457226,HECA,beta 2
6:142622518-142623463,GPR126,beta 1
6:143265482-143267867,HIVEP2,beta 2
6:143446428-143446916,AIG1,beta 1
6:144606859-144608634,UTRN,beta 2
6:146055802-146057209,EPM2A,beta 2
6:146135129-146136772,FBXO30,beta 2
6:146284533-146286034,SHPRH,beta 2
6:147828455-147830534,SAMD5,beta 2
6:150243784-150244700,RAET1G,beta 2
6:150262641-150263559,ULBP2,beta 2
6:150284316-150286641,ULBP1,beta 2
6:150346400-150347104,RAET1L,beta 2
6:150463540-150465335,PPP1R14C,beta 2
6:151357348-151357958,MTHFD1L,beta 2
6:15248418-15249357,JARID2,beta 2
6:152622749-152623743,SYNE1,beta 1
6:15662138-15663485,DTNBP1,beta 2
6:157744107-157745355,TMEM242,beta 2
6:159083802-159085196,SYTL3,beta 1
6:161412297-161414091,MAP3K4,beta 2
6:163834316-163836860,QKI,beta 2
6:166075486-166077107,PDE10A,beta 1
6:167369528-167371091,RP11-514O12.4,beta 1
6:167369528-167371091,RNASET2,beta 1
6:16761584-16762531,ATXN1,beta 2
6:168226217-168228731,MLLT4,beta 2
6:18264113-18265235,DEK,beta 2
6:24126126-24126674,NRSN1,beta 1
6:26032057-26032805,HIST1H3B,beta 1
6:26157239-26158828,HIST1H2BD,beta 1
6:26285301-26286893,HIST1H4H,beta 2
6:2841446-2842389,SERPINB1,beta 1
6:29600120-29601392,GABBR1,beta 1
